ISCO08_C,ISCO1C,ISCO2C,PVLIT1,PVLIT2,PVLIT3,PVLIT4,PVLIT5,PVLIT6,PVLIT7,PVLIT8,PVLIT9,PVLIT10,PVNUM1,PVNUM2,PVNUM3,PVNUM4,PVNUM5,PVNUM6,PVNUM7,PVNUM8,PVNUM9,PVNUM10,NUMWORKC2,READWORKC2_T1,WRITWORKC2,ICTWORKC2,SPFWT0,AGE_R,GENDER_R
8182,8,81,146.84303,157.8206,151.92242,153.08426,159.59549,155.13466,132.39104,157.23893,149.78546,171.11242,135.05605,126.08462,139.08715,142.82928,140.00765,130.4937,112.92971,141.58422,158.71648,139.44636,1.43723,1.26929,2.48997,1.47599,945.084361,61.0,1.0
9111,9,91,212.59134,219.90665,196.53075,198.37476,203.79584,212.44187,202.75669,217.17757,206.62365,223.73254,231.55798,192.52652,193.7189,201.43384,196.10334,188.42811,201.91851,197.82518,203.79527,206.79686,0.11034,-1.81651,0.20752,.v,776.549728,61.0,2.0
.,.,.,292.51623,312.81483,298.03932,277.98175,270.40282,298.32007,304.86722,298.2886,282.81644,301.87708,284.11815,294.44084,296.34019,269.49366,277.64016,316.35563,299.27369,275.49922,284.40845,281.51577,1.7958,1.67437,1.74666,2.41101,2278.194877,52.0,2.0
5163,5,51,260.6632,237.16614,244.83577,256.21054,255.59362,247.35196,269.04899,257.7481,262.4637,287.30843,244.08489,247.87395,254.6253,262.30504,232.94514,278.16349,263.90625,250.75384,214.2415,279.73154,2.87121,4.24737,2.80464,2.8321,6554.720462,44.0,1.0
9996,996,996,107.5302,93.96246,96.08857,115.84483,120.55633,102.12165,109.06304,131.17588,105.75581,123.17747,95.68093,86.87628,82.01761,79.51574,111.10792,92.3547,114.24823,110.17739,112.17643,121.13179,1.70751,-0.31037,0.20752,.v,2634.134741,21.0,2.0
4132,4,41,261.11063,260.97979,256.18582,293.87967,268.34932,234.93315,275.09005,266.89454,243.97171,260.48146,231.39072,251.85621,211.59564,224.64894,229.83352,221.74195,249.25271,242.75028,246.206,240.06937,1.70751,1.33412,1.98731,1.60043,1094.56302,28.0,2.0
5223,5,52,231.95519,214.24736,241.14875,236.52901,210.67875,224.85323,236.60851,221.46498,230.63891,224.57086,215.30122,225.7568,242.92294,232.80835,241.31821,230.57787,211.819,228.73157,221.80995,192.89089,2.26865,2.38083,1.43983,1.2247,593.926183,64.0,2.0
9996,996,996,279.84832,308.89218,324.99148,296.30583,297.93205,310.81026,310.2155,292.57766,279.74304,301.26024,295.62934,306.34748,295.57205,286.51531,294.06607,268.78287,289.22348,301.49627,274.32552,291.63137,2.12779,0.64061,0.20752,.v,3132.5861,17.0,1.0
8341,8,83,114.25746,127.49112,111.04561,128.4648,123.3277,133.52453,112.90053,124.85952,116.82453,132.82719,119.90893,135.13584,109.35568,142.7924,104.13674,134.85976,119.35849,125.82276,126.13629,130.95833,3.14173,0.70939,2.51711,.v,2954.364416,57.0,1.0
4120,4,41,178.56624,178.9808,184.53089,220.95476,173.51026,193.40153,179.65344,169.78847,177.35347,170.8912,153.32929,193.41862,212.98341,203.70844,178.15092,174.34692,192.33083,184.67862,205.3991,185.38489,2.99413,1.6997,2.59139,3.29951,1051.245594,34.0,2.0
1345,1,13,276.7576,282.05409,275.88722,265.56131,258.13972,256.92683,273.87797,259.26628,276.33287,290.02666,278.17662,288.0014,300.51783,280.63345,282.28127,284.89656,295.08313,303.83686,298.32432,275.07064,2.07901,4.31386,2.80464,1.89134,2929.825917,36.0,1.0
9111,9,91,107.92699,128.2044,135.75151,137.27574,127.72213,122.21441,132.46889,121.27416,142.5181,138.41005,139.93607,170.32064,150.63556,146.60263,143.53952,152.90686,153.35734,173.36857,162.7847,161.98704,0.11034,-1.81651,0.20752,.v,1611.145182,29.0,2.0
7522,7,75,313.6964,258.22899,296.98286,270.78867,253.61702,279.56856,269.54548,305.53225,272.48806,265.53714,301.26208,277.2389,286.2883,292.5745,267.27094,292.40532,288.8581,299.91253,295.68206,282.57994,3.27317,1.93017,2.16164,1.96713,3780.883985,24.0,1.0
9996,996,996,257.05229,260.06098,244.22606,255.85097,248.08653,232.00528,248.84879,232.83754,235.17395,247.04361,190.95546,195.71026,194.64266,205.82977,217.13623,165.13401,198.93658,197.04257,189.4918,203.65774,2.01413,-1.81651,0.20752,.v,4604.137062,17.0,1.0
5322,5,53,211.53548,210.5709,215.93146,239.42243,236.92175,193.88779,222.51529,220.24022,237.71872,224.82467,202.90105,159.28672,180.9771,200.17064,214.50978,176.01475,208.79034,176.50189,187.84315,195.17458,1.53141,3.29968,2.59139,1.96713,4963.234415,21.0,2.0
9111,9,91,191.56285,188.25787,210.93375,194.86612,201.58034,238.33666,186.61876,197.7459,183.32948,190.46038,211.05077,219.15763,225.5635,207.39948,213.9693,240.8171,218.74456,194.08507,202.1622,190.82698,0.11034,-0.31037,0.20752,.v,2007.13203,56.0,2.0
9996,995,995,264.43054,249.89473,259.88529,273.67491,252.38026,233.25051,271.67247,264.98686,265.94625,271.73823,266.28559,251.47782,269.55741,255.0798,264.68061,241.77145,254.69736,259.59672,269.55032,272.01526,.v,.v,.v,.v,548.650695,22.0,1.0
9313,9,93,188.37153,191.94095,189.42006,216.3849,205.59351,172.07469,165.97639,190.3812,180.34639,197.7677,206.94623,198.74045,185.16369,227.25985,170.17684,187.60617,214.19159,188.71321,213.01875,183.66138,2.2334,0.79169,0.20752,0.77396,5437.788653,62.0,1.0
9996,996,996,152.74866,144.17371,154.55974,149.90149,160.62498,151.77988,158.88971,149.32273,148.6155,170.63667,118.69096,132.64046,137.79216,134.47081,147.90344,112.25966,139.9936,105.1981,148.98519,140.04849,.v,.v,.v,.v,332.395258,63.0,2.0
9996,995,995,207.36573,232.1361,217.55897,206.89725,206.59263,198.89148,223.87836,216.82185,212.33619,220.7793,198.40059,211.38147,220.02616,202.53597,189.27566,167.59866,206.68696,201.36324,207.28342,199.05676,.v,.v,.v,.v,561.513957,36.0,1.0
